Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT700,UMTS900,UMTS2100,LTE700,LTE900,LTE1800,LTE2100,LTE2300,LTE2600,NR900,NR2100,NR2300,NR3500,NR26000,Co_funded,Co_contribution_program,Round
2024,Optus,852111,-14.178461,132.186257,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,852112,-15.891071,129.07229,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5
2024,Optus,852113,-14.9541,133.2204,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5
2024,Optus,852121,-15.762983,129.106028,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5
2024,Optus,860007,-19.64497,134.183655,Y,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,862040,-18.318584,133.795264,,Y,,,,,,,,,,,,,,,
2024,Optus,862041,-19.71095,135.82742,,Y,,,,,,,,,,,,,,,
2024,Optus,862042,-17.55584,133.54782,,Y,,,,,,,,,,,,,,,
2024,Optus,870011,-22.64468,133.34561,,Y,,,,,,,,,,,,,,,
2024,Optus,870025,-23.801829,133.903038,Y,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,870028,-23.69993,133.87918,Y,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,870030,-23.722549,133.857596,,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,870052,-23.66924,133.864338,,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,870061,-23.700055,133.894595,Y,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,870064,-23.69695,133.84078,Y,,,Y,,Y,Y,,Y,,Y,,,,,,
2024,Optus,872003,-25.242591,130.984035,Y,Y,,Y,Y,,Y,,Y,,,,,,,,
2024,Optus,872132,-21.53135,133.88937,,Y,,,,,,,,,,,,,,,
2024,Optus,872133,-23.6322,132.7268,,Y,,,,,,,,,,,,,,,
2024,Optus,872134,-20.79537,134.23659,,Y,,,,,,,,,,,,,,,
2024,Optus,872135,-22.13295,133.4167,,Y,,,,,,,,,,,,,,,
2024,Optus,872136,-25.19756,133.20079,,Y,,,,,,,,,,,,,,,
2024,Optus,872137,-25.31398,131.756811,,Y,,,,,,,,,,,,,,,
2024,Optus,872140,-25.8395,133.2997,,Y,,,,,,,,,,,,,,,
2024,Optus,872141,-25.1795,132.6766,,Y,,,,,,,,,,,,,,,
2024,Optus,872142,-23.6852,132.6726,,Y,,,,,,,,,,,,,,,
2024,Optus,872143,-20.6409,134.2227,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,872144,-24.4053,131.8179,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,872145,-24.34009,133.45876,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,872146,-24.251,131.5116,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,872147,-22.96838,134.24121,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,872149,-23.5959,134.4883,,Y,,,,,,,,,,,,,,,
2024,Optus,872155,-25.191336,130.976089,Y,,,Y,,,Y,,Y,,Y,,,,,,
2024,Optus,872161,-22.2742,137.97409,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,872169,-23.7882,133.0742,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,872184,-22.329883,124.726903,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5
2024,Optus,872185,-23.5224,134.39741,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,872186,-24.862581,133.81455,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,872187,-20.5558,134.2694,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,872188,-23.45604,134.68709,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,872189,-24.056241,132.739943,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,872191,-23.5863,132.51367,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5
2024,Optus,872192,-24.321417,133.633583,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,880003,-12.181375,136.776877,Y,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,886001,-12.669492,132.834471,Y,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,2000003,-33.86979,151.204469,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000006,-33.875432,151.206053,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000008,-33.87445943,151.2069197,Y,Y,,Y,,Y,Y,Y,,,,,,,,,
2024,Optus,2000008,-33.874914,151.207279,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000015,-33.871721,151.203682,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000019,-33.865154,151.207079,Y,,,Y,,Y,Y,,Y,,Y,,Y,,,,
2024,Optus,2000020,-33.867461,151.213011,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000022,-33.87832652,151.2044129,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000023,-33.872255,151.206271,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000024,-33.874213,151.213253,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000026,-33.860512,151.206214,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000027,-33.859313,151.207565,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000037,-33.86006,151.20906,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000040,-33.86358255,151.2049311,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000043,-33.865872,151.212338,,Y,,,Y,Y,Y,,,,Y,,,,,,
2024,Optus,2000044,-33.864864,151.206887,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000045,-33.86413,151.211396,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000046,-33.86777,151.207733,Y,Y,,Y,,Y,Y,,,,,,,,,,
2024,Optus,2000047,-33.871788,151.206726,Y,,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000051,-33.872554,151.203727,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000052,-33.882559,151.206663,,Y,,,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000053,-33.8766,151.209806,,Y,,,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000054,-33.870982,151.211798,,Y,,,,Y,Y,Y,Y,,Y,,,,,,
2024,Optus,2000056,-33.873544,151.207201,,Y,,,,Y,Y,Y,Y,,Y,,,,,,
2024,Optus,2000057,-33.864034,151.205101,,Y,,,,Y,Y,Y,Y,,Y,,,,,,
2024,Optus,2000058,-33.86772,151.211654,,Y,,,,Y,Y,Y,Y,,Y,,,,,,
2024,Optus,2000059,-33.862764,151.211599,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000060,-33.863753,151.2071,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000061,-33.867957,151.207259,Y,,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000062,-33.872756,151.207609,Y,Y,,Y,,Y,Y,,,,,,,,,,
2024,Optus,2000064,-33.86882,151.20715,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,
2024,Optus,2000072,-33.873118,151.199331,,Y,,,,Y,,Y,Y,,,,,,,,
2024,Optus,2000074,-33.866799,151.208311,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000077,-33.854583,151.209453,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000078,-33.867995,151.217794,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000081,-33.866057,151.213984,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000082,-33.867636,151.210917,,,,,,Y,Y,,,Y,Y,,,,,,
2024,Optus,2000083,-33.861681,151.2031,,,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000088,-33.862925,151.207004,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000093,-33.868952,151.206757,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000093,-33.868952,151.206757,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000093,-33.868957,151.206714,,,,,,Y,,Y,Y,,,,,,,,
2024,Optus,2000102,-33.8621,151.21,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000119,-33.878103,151.208964,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000136,-33.873243,151.199278,,Y,,,,Y,,Y,Y,,,,,,,,
2024,Optus,2000142,-33.862864,151.208118,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000146,-33.866581,151.205206,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000151,-33.869827,151.201751,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000153,-33.880175,151.206362,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000153,-33.880392,151.206292,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000156,-33.877428,151.206382,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000156,-33.87679,151.2064,,,,,,,Y,,Y,,,,Y,,,,
2024,Optus,2000156,-33.877553,151.206472,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000159,-33.87311,151.20977,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000163,-33.864632,151.209008,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000165,-33.8688,151.209113,,Y,,,,,,,,,,,,,,,
2024,Optus,2000165,-33.8688,151.209113,Y,,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000167,-33.866863,151.211649,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000168,-33.857379,151.210299,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000169,-33.858754,151.213736,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000170,-33.870424,151.20812,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000170,-33.870335,151.20748,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000172,-33.871753,151.209773,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000173,-33.874713,151.203286,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000174,-33.87777898,151.2076178,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000176,-33.876489,151.205753,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000177,-33.865967,151.202809,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000177,-33.865737,151.202837,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000181,-33.871606,151.204841,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000183,-33.870576,151.209036,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,
2024,Optus,2000186,-33.877984,151.208329,,,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000190,-33.866295,151.203792,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000191,-33.869269,151.203893,,,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000203,-33.864072,151.208016,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000209,-33.880007,151.203352,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000212,-33.8748,151.20443,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000220,-33.868422,151.204263,,,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000222,-33.865485,151.204564,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000224,-33.87264,151.203626,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000228,-33.864983,151.211881,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000229,-33.86413,151.21139,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000230,-33.864641,151.204386,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000231,-33.871422,151.208771,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000233,-33.8675,151.2118,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000234,-33.866773,151.209548,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000236,-33.86454,151.209969,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000241,-33.867617,151.203915,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000242,-33.86502,151.207762,,Y,,,,Y,Y,,,,,,,,,,
2024,Optus,2000244,-33.87644,151.21245,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000250,-33.871908,151.207922,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000257,-33.869994,151.206581,,,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000259,-33.876142,151.208165,Y,Y,,Y,,Y,,Y,,,,,,,,,
2024,Optus,2000263,-33.864327,151.21197,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000268,-33.877738,151.207216,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000269,-33.84158,151.210752,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000273,-33.870843,151.209595,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000274,-33.870479,151.209012,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000277,-33.875701,151.2093,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000278,-33.864952,151.208555,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000288,-33.873607,151.202352,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000290,-33.858922,151.206331,,Y,,,,Y,Y,,,Y,Y,,,,,,
2024,Optus,2000293,-33.864599,151.212558,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000294,-33.857561,151.204625,,,,,,Y,,,,,,,,,,,
2024,Optus,2000296,-33.869701,151.207573,,,,,,Y,,,,,,,,,,,
2024,Optus,2000299,-33.870055,151.204349,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000300,-33.870591,151.20462,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000303,-33.85792,151.20312,Y,,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000306,-33.874582,151.202343,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000306,-33.87535,151.202981,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000307,-33.877319,151.208564,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,,,,
2024,Optus,2000317,-33.86978,151.206296,,Y,,,,Y,Y,,,Y,Y,,,,,,
2024,Optus,2000319,-33.857371,151.203833,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000320,-33.870133,151.209326,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000321,-33.864833,151.210595,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000325,-33.863986,151.203658,,,,,,Y,,,,,,,,,,,
2024,Optus,2000326,-33.859511,151.213154,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000329,-33.866412,151.202781,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000337,-33.872503,151.208455,Y,Y,,Y,,Y,Y,,,,,,,,,,
2024,Optus,2000347,-33.869923,151.206167,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000348,-33.863582,151.206552,,Y,,,,Y,Y,,,Y,Y,,,,,,
2024,Optus,2000349,-33.863828,151.211612,,Y,,,,Y,Y,,,Y,Y,,,,,,
2024,Optus,2000350,-33.873232,151.210794,,Y,,,,Y,Y,,,,Y,,,,,,
2024,Optus,2000352,-33.86672,151.211035,Y,Y,,Y,,Y,Y,Y,,,Y,Y,,,,,
2024,Optus,2000355,-33.866824,151.206537,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000356,-33.863356,151.208682,,Y,,,,Y,,,,,,,,,,,
2024,Optus,2000357,-33.87315,151.206626,Y,,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000360,-33.86730824,151.2087339,,Y,,,,Y,,Y,Y,,,,,,,,
2024,Optus,2000366,-33.86311,151.20367,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000371,-33.865572,151.205123,,Y,,,,Y,,,Y,,,,,,,,
2024,Optus,2000372,-33.86473,151.202339,,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,
2024,Optus,2000372,-33.865405,151.202204,,Y,,,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000372,-33.86481,151.202204,,Y,,,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000376,-33.867989,151.208807,,,,,,Y,Y,,,,,,,,,,
2024,Optus,2000381,-33.869244,151.211112,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,
2024,Optus,2000387,-33.862494,151.207881,Y,Y,,Y,,Y,Y,Y,Y,,,,,,,,
2024,Optus,2000388,-33.87358,151.20358,Y,Y,,Y,,Y,Y,Y,,,,,,,,,
2024,Optus,2000391,-33.87055,151.203224,Y,Y,,Y,,Y,,Y,Y,,,,,,,,
2024,Optus,2000393,-33.87685,151.20081,,Y,,,,Y,,Y,Y,,,,,,,,
2024,Optus,2000396,-33.862288,151.212724,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,
2024,Optus,2000414,-33.867936,151.214049,,,,,,,,,Y,,,,,,,,
2024,Optus,2000414,-33.868259,151.216465,,,,,,,,,Y,,,,,,,,
2024,Optus,2000414,-33.863094,151.217547,,,,,,,,,Y,,,,,,,,
2024,Optus,2000414,-33.863924,151.22099,,,,,,,,,Y,,,,,,,,
2024,Optus,2000414,-33.862662,151.222271,,,,,,,,,Y,,,,,,,,
2024,Optus,2000414,-33.859886,151.222053,,,,,,,,,Y,,,,,,,,
